circuit,load_seconds,gnn_seconds,rank_seconds,total_seconds,runtime_no_fi,gnn_nonrandom,gnn_struct_agree,train_nodes,device,epochs,hidden,layers,gnn_reliable,effective_gnn_weight,effective_struct_weight,residual_step,chosen_family,family_reason,family_selector_mode,adaptive_parameter_mode,frontier_metric_mode,structural_effective_dim,structural_active_features,frontier_fraction,core_fraction,tail_quantile,family_peer_frontier_overlap,family_gnn_frontier_overlap,family_cache_frontier_overlap,family_static_core_overlap,family_tail_separation,family_frontier_mean,family_peer_frontier_overlap_pct,family_gnn_frontier_overlap_pct,family_cache_frontier_overlap_pct,family_static_core_overlap_pct,family_tail_separation_pct,family_frontier_mean_pct,distance_guard_active,distance_guard_mode,final_score_mean
log2,0.3865244000007806,0.5430562000001373,5.094368100002612,6.600050500001089,True,0.7583691592250289,0.23624476028038843,8192,cuda,30,128,2,True,0.5160016950886825,0.48399830491131746,0.1009523214787523,sink_reach_near_pr,relative-sink-gnn-frontier,v38_cross_benchmark_adaptive_no_hand_parameters,runtime_visible_signal_geometry,runtime_visible_structural_effective_dimension,5.482178349896464,6.0,0.18240924249005616,0.08709148817645887,0.9695984595849907,0.2708948710525018,0.13865341518074636,0.18459199189052206,0.056818181818181816,0.027679610216271733,0.02705944860761199,0.9137931034482759,0.5344827586206896,0.5344827586206896,0.5344827586206896,0.43103448275862066,0.25862068965517243,False,auto_runtime_visible,0.499985599409253
max,0.040041199998086086,0.29752409999855445,0.35868070000287844,0.7419432999995479,True,0.7400014859180688,0.9793914594001463,6242,cuda,30,128,2,True,0.5811053718609019,0.418894628139098,0.1714216044867106,pdom_dist,relative-pdom-static-aligned,v38_cross_benchmark_adaptive_no_hand_parameters,runtime_visible_signal_geometry,runtime_visible_structural_effective_dimension,4.474128557914539,6.0,0.2235072119756245,0.09547333646619914,0.9627487980040625,0.26821653118576366,0.06527415143603134,0.022556390977443608,0.9773584905660377,0.9033089289727594,0.42922188050437987,0.39655172413793105,0.1206896551724138,0.017241379310344827,0.8448275862068966,0.9827586206896551,0.603448275862069,False,auto_runtime_visible,0.5004561393562305
mem_ctrl,0.598840000002383,0.6932782000003499,7.789478099999542,9.827344900000753,True,0.7237744181048207,0.4435002136003736,8192,cuda,30,128,2,True,0.5263587186914033,0.4736412813085968,0.09760343034239741,pdom_dist,relative-pdom-static-aligned,v38_cross_benchmark_adaptive_no_hand_parameters,runtime_visible_signal_geometry,runtime_visible_structural_effective_dimension,5.214659538342668,6.0,0.19176707369812712,0.08916900210666427,0.9680388210503121,0.3087233035915506,0.1800431006334487,0.1022325240941808,0.9626255547769212,-0.025726716057539428,0.13414507903888084,0.603448275862069,0.29310344827586204,0.22413793103448276,0.8793103448275862,0.017241379310344827,0.43103448275862066,False,auto_runtime_visible,0.501699651704608
multiplier,0.3337181999995664,0.4862944000014977,4.343600000000151,5.68956949999847,True,0.7715540647161475,0.4219950896669513,8192,cuda,30,128,2,True,0.5460641340156847,0.4539358659843153,0.1008205547098355,sink_reach_near_pr,relative-sink-gnn-frontier,v38_cross_benchmark_adaptive_no_hand_parameters,runtime_visible_signal_geometry,runtime_visible_structural_effective_dimension,5.125677394277476,6.0,0.19509616448285302,0.0898821675805873,0.9674839725861911,0.24863442325015558,0.3953797132235794,0.406772855039486,0.08273703041144902,0.16252611138173598,0.12614368469708293,0.6379310344827587,0.8448275862068966,0.7413793103448276,0.6379310344827587,0.5,0.39655172413793105,False,auto_runtime_visible,0.49999367295560604
priority,0.013564199998654658,0.2588231000008818,0.12400110000089626,0.41294980000020587,True,0.739916237113402,0.6494362113402061,2084,cuda,30,128,2,True,0.5565725389011809,0.4434274610988191,0.10824742268041238,wl3_common_dist,relative-wl-common-cache-repair,v38_cross_benchmark_adaptive_no_hand_parameters,runtime_visible_signal_geometry,runtime_visible_structural_effective_dimension,4.935091744047706,6.0,0.20263047818839766,0.09144870691590946,0.9662282536352671,0.24110586197019562,0.11299435028248588,0.15204678362573099,0.14838709677419354,1.2014450113480663e-07,8.716311606127802e-08,0.29310344827586204,0.1206896551724138,0.5,0.43103448275862066,0.29310344827586204,0.1206896551724138,False,auto_runtime_visible,0.49912448588327246
router,0.004200600000331178,0.24534100000164472,0.03666230000089854,0.2915015000035055,True,0.7062747035573123,0.6971343873517787,628,cuda,30,128,2,True,0.4857314890079067,0.5142685109920934,0.11660079051383401,pdom_dist,relative-pdom-static-aligned,v38_cross_benchmark_adaptive_no_hand_parameters,runtime_visible_signal_geometry,runtime_visible_structural_effective_dimension,4.773593353641935,6.0,0.2094857952735053,0.0928195419276668,0.9650857007877491,0.35874571909716657,0.1368421052631579,0.14893617021276595,0.7142857142857143,0.10874847005178259,0.09849313610911163,0.7413793103448276,0.3103448275862069,0.22413793103448276,0.8448275862068966,0.1896551724137931,0.15517241379310345,False,auto_runtime_visible,0.49986006816317585
sin,0.06524929999795859,0.31451080000260845,0.6934971000009682,1.155048100001295,True,0.7668831168831169,0.8120593692022264,8192,cuda,30,128,2,True,0.5297210844038762,0.4702789155961238,0.10211502782931355,pdom_dist,relative-pdom-static-aligned,v38_cross_benchmark_adaptive_no_hand_parameters,runtime_visible_signal_geometry,runtime_visible_structural_effective_dimension,5.378676768406343,6.0,0.1859193335196998,0.08788368106004793,0.9690134444133833,0.24329689147014072,0.14694110920526016,0.1724137931034483,0.24083769633507854,0.006399319824931676,0.061407624675123375,0.603448275862069,0.3275862068965517,0.39655172413793105,0.8793103448275862,0.1896551724137931,0.3275862068965517,False,auto_runtime_visible,0.5000651229818969
sqrt,0.28908559999763384,0.47308089999933145,3.6980908999976236,4.846511899999314,True,0.7422046822180589,0.9145241925630269,8192,cuda,30,128,2,True,0.5067243543209807,0.4932756456790193,0.10048466582495011,role_depth_resonance_idx_inv_dist,relative-role-depth-source,v38_cross_benchmark_adaptive_no_hand_parameters,runtime_visible_signal_geometry,runtime_visible_structural_effective_dimension,5.330540325574246,6.0,0.18759824312787138,0.08825704434791098,0.9687336261453547,0.268547701921787,0.19414204250907205,0.2144457624884671,0.056530214424951264,0.0022708839179350964,0.0023327236699564984,0.5517241379310345,0.3448275862068966,0.3448275862068966,0.7586206896551724,0.13793103448275862,0.06896551724137931,False,auto_runtime_visible,0.4999601275220415
square,0.22073210000235122,0.41740579999896,2.8259958000016923,3.7496305000022403,True,0.764973851936591,0.9835800035408837,8192,cuda,30,128,2,True,0.5196564933799414,0.4803435066200586,0.1013346407365038,mass_balance,relative-mass-balance-frontier,v38_cross_benchmark_adaptive_no_hand_parameters,runtime_visible_signal_geometry,runtime_visible_structural_effective_dimension,4.953420461232969,6.0,0.20188070199699693,0.09129568279965719,0.9663532163338339,0.2599369568345794,0.3007017543859649,0.42303262955854126,0.06139240506329114,0.33584856181648437,0.999999967486282,0.603448275862069,0.6724137931034483,0.7413793103448276,0.29310344827586204,0.7068965517241379,0.9827586206896551,False,auto_runtime_visible,0.5000453255292064
voter,0.1695134000001417,0.37062109999897075,2.044832100000349,2.790966300002765,True,0.7652649560223886,0.8618135312931599,8192,cuda,30,128,2,True,0.5744892136527464,0.42551078634725353,0.08411475370114607,index_mid,relative-mid-index,v38_cross_benchmark_adaptive_no_hand_parameters,runtime_visible_signal_geometry,runtime_visible_structural_effective_dimension,5.092669498055639,6.0,0.19636067103545518,0.09014962540579466,0.9672732214940908,0.08490352623934935,0.046475600309837335,0.05505661850839516,0.0,0.46728700203547546,0.9018610061064262,0.017241379310344827,0.017241379310344827,0.017241379310344827,0.017241379310344827,0.9827586206896551,0.9482758620689655,False,auto_runtime_visible,0.49986587540278155
