circuit,vector_seed,vectors,budget,method,method_value,static_value,oracle_value,row_ideal_ratio_raw,loss,chosen_family
ctrl,7089,128,0.1,structural_family_only,2048.0,2123.0,2176.0,0.9411764705882353,True,pdom_dist
ctrl,7089,128,0.2,structural_family_only,3285.0,3423.0,3890.0,0.8444730077120822,True,pdom_dist
dec,7089,128,0.05,segr_structure_derived_selector,384.0,384.0,384.0,1.0,False,index_mid
dec,7089,128,0.1,segr_structure_derived_selector,640.0,640.0,640.0,1.0,False,index_mid
dec,7089,128,0.2,segr_structure_derived_selector,1280.0,1280.0,1280.0,1.0,False,index_mid
dec,7089,128,0.05,no_gnn,384.0,384.0,384.0,1.0,False,index_mid
dec,7089,128,0.1,no_gnn,640.0,640.0,640.0,1.0,False,index_mid
dec,7089,128,0.2,no_gnn,1280.0,1280.0,1280.0,1.0,False,index_mid
dec,7089,128,0.05,gnn_only,384.0,384.0,384.0,1.0,False,index_mid
dec,7089,128,0.1,gnn_only,640.0,640.0,640.0,1.0,False,index_mid
dec,7089,128,0.2,gnn_only,1280.0,1280.0,1280.0,1.0,False,index_mid
dec,7089,128,0.05,shuffled_gnn,384.0,384.0,384.0,1.0,False,index_mid
dec,7089,128,0.1,shuffled_gnn,640.0,640.0,640.0,1.0,False,index_mid
dec,7089,128,0.2,shuffled_gnn,1280.0,1280.0,1280.0,1.0,False,index_mid
dec,7089,128,0.05,pure_static_proximity,384.0,384.0,384.0,1.0,False,index_mid
dec,7089,128,0.1,pure_static_proximity,640.0,640.0,640.0,1.0,False,index_mid
dec,7089,128,0.2,pure_static_proximity,1280.0,1280.0,1280.0,1.0,False,index_mid
dec,7089,128,0.05,cache_structural_only,384.0,384.0,384.0,1.0,False,index_mid
dec,7089,128,0.1,cache_structural_only,640.0,640.0,640.0,1.0,False,index_mid
dec,7089,128,0.2,cache_structural_only,1280.0,1280.0,1280.0,1.0,False,index_mid
dec,7089,128,0.05,structural_family_only,384.0,384.0,384.0,1.0,False,index_mid
dec,7089,128,0.1,structural_family_only,640.0,640.0,640.0,1.0,False,index_mid
dec,7089,128,0.2,structural_family_only,1280.0,1280.0,1280.0,1.0,False,index_mid
div,7089,128,0.05,segr_structure_derived_selector,89238.0,34215.0,120176.0,0.7425609106643589,False,inv_depth
div,7089,128,0.1,segr_structure_derived_selector,110055.0,47417.0,143757.0,0.7655627204240489,False,inv_depth
div,7089,128,0.2,segr_structure_derived_selector,117067.0,81956.0,151704.0,0.7716803775773875,False,inv_depth
div,7089,128,0.05,no_gnn,54434.0,34215.0,120176.0,0.45295233657302625,False,inv_depth
div,7089,128,0.1,no_gnn,66658.0,47417.0,143757.0,0.4636852466314684,False,inv_depth
div,7089,128,0.2,no_gnn,84000.0,81956.0,151704.0,0.5537098560354374,False,inv_depth
