circuit,vector_seed,vectors,method,method_ratio,loss_rows,random_mean,random_p05,random_p95,gate,random_passed
max,7089,128,scoap_co_only,0.9948508641430563,0,0.20112004845508485,0.156789079487799,0.23955034338070597,0.5,True
max,7089,128,scoap_min_fault_cost,0.9920770544637596,0,0.20112004845508485,0.156789079487799,0.23955034338070597,0.5,True
max,7089,128,scoap_avg_fault_cost,0.9935331762190389,0,0.20112004845508485,0.156789079487799,0.23955034338070597,0.5,True
max,7089,128,scoap_worst_fault_cost,0.993154319706825,0,0.20112004845508485,0.156789079487799,0.23955034338070597,0.5,True
max,7089,128,segr_structure_derived_selector,0.5035551550705171,0,0.20112004845508485,0.156789079487799,0.23955034338070597,0.5,True
mem_ctrl,7089,128,standard_scoap_testability,0.9433204054590756,0,0.13875022555579755,0.08589134440237324,0.21109052387678343,0.5,True
mem_ctrl,7089,128,scoap_co_only,0.9547796809172713,0,0.13875022555579755,0.08589134440237324,0.21109052387678343,0.5,True
mem_ctrl,7089,128,scoap_min_fault_cost,0.9433204054590756,0,0.13875022555579755,0.08589134440237324,0.21109052387678343,0.5,True
mem_ctrl,7089,128,scoap_avg_fault_cost,0.9080431114250997,1,0.13875022555579755,0.08589134440237324,0.21109052387678343,0.5,True
mem_ctrl,7089,128,scoap_worst_fault_cost,0.8695822246330958,2,0.13875022555579755,0.08589134440237324,0.21109052387678343,0.5,True
mem_ctrl,7089,128,segr_structure_derived_selector,0.9122354145545962,0,0.13875022555579755,0.08589134440237324,0.21109052387678343,0.5,True
multiplier,7089,128,standard_scoap_testability,0.587890492870734,0,0.27694727179474754,0.24386949329873106,0.31828039575627837,0.5,True
multiplier,7089,128,scoap_co_only,0.6134594704730221,0,0.27694727179474754,0.24386949329873106,0.31828039575627837,0.5,True
multiplier,7089,128,scoap_min_fault_cost,0.587890492870734,0,0.27694727179474754,0.24386949329873106,0.31828039575627837,0.5,True
multiplier,7089,128,scoap_avg_fault_cost,0.5804837787561226,0,0.27694727179474754,0.24386949329873106,0.31828039575627837,0.5,True
multiplier,7089,128,scoap_worst_fault_cost,0.5595398490689303,0,0.27694727179474754,0.24386949329873106,0.31828039575627837,0.5,True
multiplier,7089,128,segr_structure_derived_selector,0.5927545891577765,0,0.27694727179474754,0.24386949329873106,0.31828039575627837,0.5,True
priority,7089,128,standard_scoap_testability,0.6188117132673638,2,0.3477473527376607,0.26475172567356936,0.4179617589654579,0.5,True
priority,7089,128,scoap_co_only,0.6174842603494577,1,0.3477473527376607,0.26475172567356936,0.4179617589654579,0.5,True
priority,7089,128,scoap_min_fault_cost,0.6188117132673638,2,0.3477473527376607,0.26475172567356936,0.4179617589654579,0.5,True
priority,7089,128,scoap_avg_fault_cost,0.5826193504688602,2,0.3477473527376607,0.26475172567356936,0.4179617589654579,0.5,True
priority,7089,128,scoap_worst_fault_cost,0.5472978617902822,3,0.3477473527376607,0.26475172567356936,0.4179617589654579,0.5,True
priority,7089,128,segr_structure_derived_selector,0.7110029133307152,0,0.3477473527376607,0.26475172567356936,0.4179617589654579,0.5,True
router,7089,128,standard_scoap_testability,0.9802396418992865,0,0.12521168193746035,0.003484320557491289,0.30721220527045767,0.5,True
router,7089,128,scoap_co_only,0.982626398453473,0,0.12521168193746035,0.003484320557491289,0.30721220527045767,0.5,True
router,7089,128,scoap_min_fault_cost,0.9802396418992865,0,0.12521168193746035,0.003484320557491289,0.30721220527045767,0.5,True
router,7089,128,scoap_avg_fault_cost,0.940885027503009,0,0.12521168193746035,0.003484320557491289,0.30721220527045767,0.5,True
router,7089,128,scoap_worst_fault_cost,0.8297259328807142,0,0.12521168193746035,0.003484320557491289,0.30721220527045767,0.5,True
router,7089,128,segr_structure_derived_selector,0.7834531948704562,0,0.12521168193746035,0.003484320557491289,0.30721220527045767,0.5,True
sin,7089,128,standard_scoap_testability,0.6107121865334392,0,0.3433711178525242,0.31130399017972216,0.37031037388441346,0.5,True
sin,7089,128,scoap_co_only,0.6377362332820568,0,0.3433711178525242,0.31130399017972216,0.37031037388441346,0.5,True
sin,7089,128,scoap_min_fault_cost,0.6107121865334392,0,0.3433711178525242,0.31130399017972216,0.37031037388441346,0.5,True
sin,7089,128,scoap_avg_fault_cost,0.5542871288908291,0,0.3433711178525242,0.31130399017972216,0.37031037388441346,0.5,True
sin,7089,128,scoap_worst_fault_cost,0.5314973324169052,0,0.3433711178525242,0.31130399017972216,0.37031037388441346,0.5,True
sin,7089,128,segr_structure_derived_selector,0.7462478042802432,0,0.3433711178525242,0.31130399017972216,0.37031037388441346,0.5,True
sqrt,7089,128,standard_scoap_testability,0.7541435833740525,0,0.1860579971285007,0.12601257405392335,0.2535414610069101,0.5,True
sqrt,7089,128,scoap_co_only,0.7573518573729338,0,0.1860579971285007,0.12601257405392335,0.2535414610069101,0.5,True
