circuit,vector_seed,vectors,budget,method,method_value,static_value,oracle_value,row_ideal_ratio_raw,loss
arbiter,7089,128,0.05,selector_family_diagnostics:union_orig_idx_edge_pr_topo_edge_pr,30314.0,36110.0,43102.0,0.7033084311632871,True
arbiter,7089,128,0.1,selector_family_diagnostics:union_orig_idx_edge_pr_topo_edge_pr,46148.0,50079.0,57142.0,0.8076021140317104,True
arbiter,7089,128,0.2,selector_family_diagnostics:union_orig_idx_edge_pr_topo_edge_pr,57835.0,61694.0,63284.0,0.9138960874786676,True
arbiter,7089,128,0.05,selector_family_diagnostics:union_dist_pr_topo_edge_pr,42252.0,36110.0,43102.0,0.9802793373857361,False
arbiter,7089,128,0.1,selector_family_diagnostics:union_dist_pr_topo_edge_pr,56759.0,50079.0,57142.0,0.9932973994609919,False
arbiter,7089,128,0.2,selector_family_diagnostics:union_dist_pr_topo_edge_pr,62793.0,61694.0,63284.0,0.9922413248214399,False
arbiter,7089,128,0.05,selector_family_diagnostics:wl1_role_index_edge_dist,128.0,36110.0,43102.0,0.0029696997819126723,True
arbiter,7089,128,0.1,selector_family_diagnostics:wl1_role_index_edge_dist,3015.0,50079.0,57142.0,0.05276329144937174,True
arbiter,7089,128,0.2,selector_family_diagnostics:wl1_role_index_edge_dist,9817.0,61694.0,63284.0,0.15512609822387965,True
arbiter,7089,128,0.05,selector_family_diagnostics:wl3_common_dist,33130.0,36110.0,43102.0,0.7686418263653658,True
arbiter,7089,128,0.1,selector_family_diagnostics:wl3_common_dist,44033.0,50079.0,57142.0,0.7705890588358826,True
arbiter,7089,128,0.2,selector_family_diagnostics:wl3_common_dist,48826.0,61694.0,63284.0,0.7715378294671639,True
arbiter,7089,128,0.05,selector_family_diagnostics:wl3_role_depth_gnn,30.0,36110.0,43102.0,0.0006960233863857826,True
arbiter,7089,128,0.1,selector_family_diagnostics:wl3_role_depth_gnn,52.0,50079.0,57142.0,0.0009100136502047531,True
arbiter,7089,128,0.2,selector_family_diagnostics:wl3_role_depth_gnn,151.0,61694.0,63284.0,0.002386069148599962,True
arbiter,7089,128,0.05,selector_family_diagnostics:forward_mass_pr,4829.0,36110.0,43102.0,0.1120365644285648,True
arbiter,7089,128,0.1,selector_family_diagnostics:forward_mass_pr,9632.0,50079.0,57142.0,0.16856252843792657,True
arbiter,7089,128,0.2,selector_family_diagnostics:forward_mass_pr,16412.0,61694.0,63284.0,0.25933885342266605,True
arbiter,7089,128,0.05,selector_family_diagnostics:sink_reach_near_pr,41655.0,36110.0,43102.0,0.966428471996659,False
arbiter,7089,128,0.1,selector_family_diagnostics:sink_reach_near_pr,54754.0,50079.0,57142.0,0.9582093731405971,False
arbiter,7089,128,0.2,selector_family_diagnostics:sink_reach_near_pr,61662.0,61694.0,63284.0,0.9743695088806017,True
arbiter,7089,128,0.05,selector_family_diagnostics:pdom_dist,36402.0,36110.0,43102.0,0.8445547770405085,False
arbiter,7089,128,0.1,selector_family_diagnostics:pdom_dist,53987.0,50079.0,57142.0,0.944786671800077,False
arbiter,7089,128,0.2,selector_family_diagnostics:pdom_dist,62691.0,61694.0,63284.0,0.9906295430124518,False
arbiter,7089,128,0.05,selector_family_diagnostics:mass_balance,0.0,36110.0,43102.0,0.0,True
arbiter,7089,128,0.1,selector_family_diagnostics:mass_balance,208.0,50079.0,57142.0,0.0036400546008190124,True
arbiter,7089,128,0.2,selector_family_diagnostics:mass_balance,830.0,61694.0,63284.0,0.013115479426079261,True
arbiter,7089,128,0.05,selector_family_diagnostics:role_depth_resonance_orig_idx_edge_depth_inv,16167.0,36110.0,43102.0,0.3750870029232982,True
arbiter,7089,128,0.1,selector_family_diagnostics:role_depth_resonance_orig_idx_edge_depth_inv,23937.0,50079.0,57142.0,0.41890378355675334,True
arbiter,7089,128,0.2,selector_family_diagnostics:role_depth_resonance_orig_idx_edge_depth_inv,34687.0,61694.0,63284.0,0.5481164275330257,True
arbiter,7089,128,0.05,selector_family_diagnostics:role_depth_resonance_idx_edge_depth_inv,16167.0,36110.0,43102.0,0.3750870029232982,True
arbiter,7089,128,0.1,selector_family_diagnostics:role_depth_resonance_idx_edge_depth_inv,23937.0,50079.0,57142.0,0.41890378355675334,True
arbiter,7089,128,0.2,selector_family_diagnostics:role_depth_resonance_idx_edge_depth_inv,34687.0,61694.0,63284.0,0.5481164275330257,True
arbiter,7089,128,0.05,selector_family_diagnostics:role_depth_resonance_orig_idx_inv_dist,36640.0,36110.0,43102.0,0.8500765625725024,False
arbiter,7089,128,0.1,selector_family_diagnostics:role_depth_resonance_orig_idx_inv_dist,48763.0,50079.0,57142.0,0.8533653004795072,True
arbiter,7089,128,0.2,selector_family_diagnostics:role_depth_resonance_orig_idx_inv_dist,57381.0,61694.0,63284.0,0.9067220782504266,True
arbiter,7089,128,0.05,selector_family_diagnostics:role_depth_resonance_idx_inv_dist,36640.0,36110.0,43102.0,0.8500765625725024,False
arbiter,7089,128,0.1,selector_family_diagnostics:role_depth_resonance_idx_inv_dist,48763.0,50079.0,57142.0,0.8533653004795072,True
arbiter,7089,128,0.2,selector_family_diagnostics:role_depth_resonance_idx_inv_dist,57381.0,61694.0,63284.0,0.9067220782504266,True
