circuit,vector_seed,vectors,budget,method,method_value,static_value,oracle_value,row_ideal_ratio_raw,loss,chosen_family
priority,7089,128,0.2,segr_l1,10688.0,10158.0,14661.0,0.7290089352704454,False,wl3_common_dist
router,7089,128,0.05,segr_l1,788.0,544.0,1148.0,0.686411149825784,False,pdom_dist
router,7089,128,0.1,segr_l1,1107.0,955.0,1378.0,0.8033381712626996,False,pdom_dist
router,7089,128,0.2,segr_l1,1241.0,1128.0,1442.0,0.8606102635228848,False,pdom_dist
sin,7089,128,0.05,segr_l1,25903.0,15977.0,34560.0,0.7495081018518519,False,pdom_dist
sin,7089,128,0.1,segr_l1,46838.0,29131.0,68881.0,0.6799843207851222,False,pdom_dist
sin,7089,128,0.2,segr_l1,82905.0,56215.0,131020.0,0.6327659899252023,False,pdom_dist
sqrt,7089,128,0.05,segr_l1,17851.0,5379.0,33084.0,0.5395659533309153,False,role_depth_resonance_idx_inv_dist
sqrt,7089,128,0.1,segr_l1,37122.0,11582.0,50636.0,0.7331147799984201,False,role_depth_resonance_idx_inv_dist
sqrt,7089,128,0.2,segr_l1,58451.0,23931.0,72936.0,0.8014012284742789,False,role_depth_resonance_idx_inv_dist
square,7089,128,0.05,segr_l1,101992.0,90387.0,117504.0,0.8679874727668845,False,mass_balance
square,7089,128,0.1,segr_l1,195729.0,171673.0,235008.0,0.832861008986928,False,mass_balance
square,7089,128,0.2,segr_l1,381598.0,328803.0,468825.0,0.8139455020530049,False,mass_balance
voter,7089,128,0.05,segr_l1,19379.0,17846.0,35517.0,0.5456260382352113,False,index_mid
voter,7089,128,0.1,segr_l1,38479.0,38209.0,64316.0,0.598280365694384,False,index_mid
voter,7089,128,0.2,segr_l1,78080.0,76717.0,111925.0,0.6976100067009158,False,index_mid
adder,7089,128,0.05,segr_l3,4365.0,4365.0,5760.0,0.7578125,False,pdom_dist
adder,7089,128,0.1,segr_l3,8720.0,8720.0,11520.0,0.7569444444444444,False,pdom_dist
adder,7089,128,0.2,segr_l3,17245.0,17245.0,22912.0,0.7526623603351955,False,pdom_dist
arbiter,7089,128,0.05,segr_l3,36402.0,36110.0,43102.0,0.8445547770405085,False,pdom_dist
arbiter,7089,128,0.1,segr_l3,53987.0,50079.0,57142.0,0.944786671800077,False,pdom_dist
arbiter,7089,128,0.2,segr_l3,62691.0,61694.0,63284.0,0.9906295430124518,False,pdom_dist
