circuit,load_seconds,gnn_seconds,rank_seconds,total_seconds,runtime_no_fi,gnn_nonrandom,gnn_struct_agree,train_nodes,device,epochs,hidden,layers,gnn_reliable,effective_gnn_weight,effective_struct_weight,residual_step,chosen_family,family_reason,family_selector_mode,adaptive_parameter_mode,frontier_metric_mode,structural_effective_dim,structural_active_features,frontier_fraction,core_fraction,tail_quantile,family_peer_frontier_overlap,family_gnn_frontier_overlap,family_cache_frontier_overlap,family_static_core_overlap,family_tail_separation,family_frontier_mean,family_peer_frontier_overlap_pct,family_gnn_frontier_overlap_pct,family_cache_frontier_overlap_pct,family_static_core_overlap_pct,family_tail_separation_pct,family_frontier_mean_pct,distance_guard_active,distance_guard_mode,final_score_mean
log2,0.6130009000007703,1.083733100000245,7.944238399999449,10.553007499998785,True,0.7588536137477753,0.30573324850907047,8192,cuda,30,64,3,True,0.5220499236904268,0.4779500763095732,0.1009523214787523,sink_reach_near_pr,relative-sink-gnn-frontier,v38_cross_benchmark_adaptive_no_hand_parameters,runtime_visible_signal_geometry,runtime_visible_structural_effective_dimension,5.482178349896464,6.0,0.18240924249005616,0.08709148817645887,0.9695984595849907,0.2717000441235301,0.13776652711517867,0.18459199189052206,0.056818181818181816,0.027679610216271733,0.02705944860761199,0.9137931034482759,0.46551724137931033,0.603448275862069,0.5344827586206896,0.43103448275862066,0.25862068965517243,False,auto_runtime_visible,0.4999685626131924
max,0.05902970000170171,0.6388842000014847,0.5809165999999095,1.344990699999471,True,0.7321546955010974,0.9743107626188734,6242,cuda,30,64,3,True,0.6036713069726585,0.3963286930273415,0.1714216044867106,pdom_dist,relative-pdom-static-aligned,v38_cross_benchmark_adaptive_no_hand_parameters,runtime_visible_signal_geometry,runtime_visible_structural_effective_dimension,4.474128557914539,6.0,0.2235072119756245,0.09547333646619914,0.9627487980040625,0.2717589645245257,0.16129032258064516,0.022556390977443608,0.9773584905660377,0.9033089289727594,0.42922188050437987,0.46551724137931033,0.22413793103448276,0.017241379310344827,0.8448275862068966,0.9827586206896551,0.603448275862069,False,auto_runtime_visible,0.4999664133179428
mem_ctrl,0.9213440000021365,1.178795199997694,11.662482300002011,14.8579596999989,True,0.7262737746502791,0.4171504184444586,8192,cuda,30,64,3,True,0.5640595817799733,0.4359404182200267,0.09760343034239741,wl3_common_dist,relative-wl-common-cache-repair,v38_cross_benchmark_adaptive_no_hand_parameters,runtime_visible_signal_geometry,runtime_visible_structural_effective_dimension,5.214659538342668,6.0,0.19176707369812712,0.08916900210666427,0.9680388210503121,0.2393548917892469,0.27567949170490647,0.21307733619763694,0.2471426450942556,-0.0033461236751242507,0.017448937187087354,0.29310344827586204,0.6379310344827587,0.7413793103448276,0.6724137931034483,0.22413793103448276,0.1896551724137931,False,auto_runtime_visible,0.49978311179444546
multiplier,0.49147809999703895,0.8988577999989502,6.5312002999999095,8.70117769999706,True,0.7630796211896187,0.2991265362195077,8192,cuda,30,64,3,True,0.5805730459999099,0.41942695400009006,0.1008205547098355,mass_balance,relative-mass-balance-frontier,v38_cross_benchmark_adaptive_no_hand_parameters,runtime_visible_signal_geometry,runtime_visible_structural_effective_dimension,5.125677394277476,6.0,0.19509616448285302,0.0898821675805873,0.9674839725861911,0.26161964711166263,0.21798586162938927,0.5072422199913954,0.04443485763589301,0.4071756235139692,0.999994586973799,0.7758620689655172,0.603448275862069,0.8793103448275862,0.22413793103448276,0.8103448275862069,0.9827586206896551,False,auto_runtime_visible,0.4999863141181595
priority,0.020324699999036966,0.6027524999990419,0.1994206999988819,0.8476669999981823,True,0.7369201030927834,0.5392235824742269,2084,cuda,30,64,3,True,0.5814764396995196,0.41852356030048044,0.10824742268041238,wl3_common_dist,relative-wl-common-cache-repair,v38_cross_benchmark_adaptive_no_hand_parameters,runtime_visible_signal_geometry,runtime_visible_structural_effective_dimension,4.935091744047706,6.0,0.20263047818839766,0.09144870691590946,0.9662282536352671,0.2504363775532395,0.19756838905775076,0.15204678362573099,0.14838709677419354,1.2014450113480663e-07,8.716311606127802e-08,0.29310344827586204,0.3275862068965517,0.5344827586206896,0.43103448275862066,0.29310344827586204,0.1206896551724138,False,auto_runtime_visible,0.4980348054187063
router,0.006032099998265039,0.5391021000032197,0.07917520000046352,0.6334012999977858,True,0.7186264822134387,0.6285202569169961,628,cuda,30,64,3,True,0.49917288264202075,0.5008271173579792,0.11660079051383401,pdom_dist,relative-pdom-static-aligned,v38_cross_benchmark_adaptive_no_hand_parameters,runtime_visible_signal_geometry,runtime_visible_structural_effective_dimension,4.773593353641935,6.0,0.2094857952735053,0.0928195419276668,0.9650857007877491,0.36374828729920816,0.18681318681318682,0.14893617021276595,0.7142857142857143,0.10874847005178259,0.09849313610911163,0.7413793103448276,0.3620689655172414,0.22413793103448276,0.8448275862068966,0.1896551724137931,0.15517241379310345,False,auto_runtime_visible,0.4992642716124761
sin,0.09851310000158264,0.6706641999990097,1.089703499997995,1.9833524000023317,True,0.7660699791280148,0.6324472402597402,8192,cuda,30,64,3,True,0.5345907833314355,0.46540921666856455,0.10211502782931355,pdom_dist,relative-pdom-static-aligned,v38_cross_benchmark_adaptive_no_hand_parameters,runtime_visible_signal_geometry,runtime_visible_structural_effective_dimension,5.378676768406343,6.0,0.1859193335196998,0.08788368106004793,0.9690134444133833,0.2428719513126518,0.1449771689497717,0.1724137931034483,0.24083769633507854,0.006399319824931676,0.061407624675123375,0.603448275862069,0.3620689655172414,0.43103448275862066,0.8793103448275862,0.1896551724137931,0.3275862068965517,False,auto_runtime_visible,0.500020730082851
sqrt,0.47997079999913694,0.9031918000000587,5.594790200000716,7.574855799997749,True,0.761113076813424,0.9004131368875494,8192,cuda,30,64,3,True,0.5067176927343561,0.4932823072656439,0.10048466582495011,role_depth_resonance_idx_inv_dist,relative-role-depth-source,v38_cross_benchmark_adaptive_no_hand_parameters,runtime_visible_signal_geometry,runtime_visible_structural_effective_dimension,5.330540325574246,6.0,0.18759824312787138,0.08825704434791098,0.9687336261453547,0.2691132733836,0.18982438016528927,0.2144457624884671,0.056530214424951264,0.0022708839179350964,0.0023327236699564984,0.6206896551724138,0.4482758620689655,0.3793103448275862,0.7586206896551724,0.13793103448275862,0.06896551724137931,False,auto_runtime_visible,0.49995959721579025
square,0.3308301999968535,0.777546599998459,4.413319200000842,5.944458399997529,True,0.7287627846325653,0.28649918968240995,8192,cuda,30,64,3,True,0.5413899079743816,0.4586100920256184,0.1013346407365038,sink_reach_near_pr,relative-sink-gnn-frontier,v38_cross_benchmark_adaptive_no_hand_parameters,runtime_visible_signal_geometry,runtime_visible_structural_effective_dimension,4.953420461232969,6.0,0.20188070199699693,0.09129568279965719,0.9663532163338339,0.2819435588361183,0.16480754124116262,0.38089029614453346,0.16175961205403533,0.18151471822804394,0.13482517153944282,0.7413793103448276,0.7413793103448276,0.7758620689655172,0.603448275862069,0.5344827586206896,0.3620689655172414,False,auto_runtime_visible,0.49994907830788293
voter,0.25433200000043144,0.7655689000021084,3.175443100000848,4.570862600001419,True,0.774831108708294,0.7524305807952314,8192,cuda,30,64,3,True,0.5892714797977514,0.4107285202022486,0.08411475370114607,index_mid,relative-mid-index,v38_cross_benchmark_adaptive_no_hand_parameters,runtime_visible_signal_geometry,runtime_visible_structural_effective_dimension,5.092669498055639,6.0,0.19636067103545518,0.09014962540579466,0.9672732214940908,0.09451873520813069,0.12255920232654757,0.05505661850839516,0.0,0.46728700203547546,0.9018610061064262,0.017241379310344827,0.29310344827586204,0.017241379310344827,0.017241379310344827,0.9827586206896551,0.9482758620689655,False,auto_runtime_visible,0.49986318921061723
