figure,circuit,budget,variant,public_name,segr_value,variant_value,oracle_value,delta,segr_ratio,variant_ratio,sign
Fig5,div,0.05,shuffled_gnn,Shuffled-GNN,89238.0,7180.0,120176.0,0.6828152043669286,0.7425609106643589,0.05974570629743044,positive
Fig5,div,0.05,cache_structural_only,Cache-Struct,89238.0,16140.0,120176.0,0.6082578884303023,0.7425609106643589,0.1343030222340567,positive
Fig5,div,0.05,structural_family_only,Struct-Family,89238.0,11759.0,120176.0,0.6447127546265478,0.7425609106643589,0.0978481560378112,positive
Fig5,div,0.1,pure_static_proximity,Static-Prox,110055.0,47417.0,143757.0,0.4357213909583533,0.7655627204240489,0.3298413294656956,positive
Fig5,div,0.1,no_gnn,SEGR w/o GNN,110055.0,31767.0,143757.0,0.5445856549594107,0.7655627204240489,0.22097706546463824,positive
Fig5,div,0.1,gnn_only,GNN-only,110055.0,80168.0,143757.0,0.20789944141850483,0.7655627204240489,0.5576632790055441,positive
Fig5,div,0.1,shuffled_gnn,Shuffled-GNN,110055.0,14632.0,143757.0,0.6637798507203128,0.7655627204240489,0.10178286970373616,positive
Fig5,div,0.1,cache_structural_only,Cache-Struct,110055.0,22627.0,143757.0,0.6081651676092295,0.7655627204240489,0.15739755281481946,positive
Fig5,div,0.1,structural_family_only,Struct-Family,110055.0,24984.0,143757.0,0.5917694442705399,0.7655627204240489,0.17379327615350904,positive
Fig5,div,0.2,pure_static_proximity,Static-Prox,117067.0,81956.0,151704.0,0.23144412803881242,0.7716803775773875,0.5402362495385751,positive
Fig5,div,0.2,no_gnn,SEGR w/o GNN,117067.0,57026.0,151704.0,0.39577730316932974,0.7716803775773875,0.3759030744080578,positive
Fig5,div,0.2,gnn_only,GNN-only,117067.0,102563.0,151704.0,0.09560723514211886,0.7716803775773875,0.6760731424352687,positive
Fig5,div,0.2,shuffled_gnn,Shuffled-GNN,117067.0,30343.0,151704.0,0.5716658756525866,0.7716803775773875,0.20001450192480094,positive
Fig5,div,0.2,cache_structural_only,Cache-Struct,117067.0,36513.0,151704.0,0.5309945683699836,0.7716803775773875,0.2406858092074039,positive
Fig5,div,0.2,structural_family_only,Struct-Family,117067.0,40466.0,151704.0,0.504937246216316,0.7716803775773875,0.2667431313610716,positive
Fig5,hyp,0.05,pure_static_proximity,Static-Prox,1109611.0,764617.0,1316997.0,0.26195503862195585,0.8425311523109013,0.5805761136889453,positive
Fig5,hyp,0.05,no_gnn,SEGR w/o GNN,1109611.0,781047.0,1316997.0,0.2494796875011864,0.8425311523109013,0.5930514648097148,positive
Fig5,hyp,0.05,gnn_only,GNN-only,1109611.0,493546.0,1316997.0,0.46778010883851673,0.8425311523109013,0.3747510434723845,positive
