figure,circuit,method,public_name,n_nodes,correlation,centered_rmse,method_std,oracle_std,std_ratio,centered_rmse_norm
Fig4,sqrt,shuffled_gnn,Shuffled-GNN,24554,-0.008613511617050007,0.41001944459668016,0.2886868915799561,0.28868689157995614,0.9999999999999998,1.420291175510888
Fig4,sqrt,cache_structural_only,Cache-Struct,24554,0.11885280666849922,0.3832359952748904,0.28868689157995614,0.28868689157995614,1.0,1.327514364013814
Fig4,sqrt,structural_family_only,Struct-Family,24554,0.23198826184736376,0.35778818166982573,0.2886868915799561,0.28868689157995614,0.9999999999999998,1.2393641419313663
Fig4,square,v38_no_hand_parameters_selector,SEGR,18358,0.42570428971472685,0.30939680022980204,0.2886908597826004,0.2886908597826004,1.0,1.071723574701306
Fig4,square,pure_static_proximity,Static-Prox,18358,0.05853064264110078,0.39614221577065895,0.2886908597826004,0.2886908597826004,1.0,1.3722021406184288
Fig4,square,no_gnn,SEGR w/o GNN,18358,0.31761347706958637,0.33725877036344465,0.2886908597826004,0.2886908597826004,1.0,1.1682350131120136
Fig4,square,gnn_only,GNN-only,18358,0.025502351612036924,0.40303097899214924,0.2886908597826004,0.2886908597826004,1.0,1.3960642165659594
Fig4,square,shuffled_gnn,Shuffled-GNN,18358,-0.005661058086536802,0.4094245199310278,0.2886908597826004,0.2886908597826004,1.0,1.4182108856489128
Fig4,square,cache_structural_only,Cache-Struct,18358,0.1614364607999557,0.37386604127663875,0.2886908597826004,0.2886908597826004,1.0,1.2950394119099573
Fig4,square,structural_family_only,Struct-Family,18358,0.26405105053963157,0.35024494554831503,0.2886908597826004,0.2886908597826004,1.0,1.2132179931573455
Fig4,voter,v38_no_hand_parameters_selector,SEGR,13758,0.33611857059068534,0.3326604737681083,0.2886961177047512,0.2886961177047512,1.0,1.1522859275451685
Fig4,voter,pure_static_proximity,Static-Prox,13758,0.32965481223400783,0.3342759944783776,0.2886961177047512,0.2886961177047512,1.0,1.1578818486926825
Fig4,voter,no_gnn,SEGR w/o GNN,13758,0.16593798710363777,0.37286799926980596,0.2886961177047512,0.2886961177047512,1.0,1.291558758165003
Fig4,voter,gnn_only,GNN-only,13758,0.05415673623000872,0.39706858579854304,0.2886961177047512,0.2886961177047512,1.0,1.37538595584657
Fig4,voter,shuffled_gnn,Shuffled-GNN,13758,0.004203525640377795,0.407418957949997,0.2886961177047512,0.2886961177047512,1.0,1.4112380907271618
Fig4,voter,cache_structural_only,Cache-Struct,13758,0.03257525512143714,0.40157302980573356,0.2886961177047512,0.2886961177047512,1.0,1.3909886734826873
Fig4,voter,structural_family_only,Struct-Family,13758,0.18585985869244517,0.36838804301887973,0.2886961177047512,0.2886961177047512,1.0,1.2760408624394086
