circuit,load_seconds,gnn_seconds,rank_seconds,total_seconds,runtime_no_fi,gnn_nonrandom,gnn_struct_agree,train_nodes,device,epochs,hidden,layers,gnn_reliable,effective_gnn_weight,effective_struct_weight,residual_step,chosen_family,family_reason,family_selector_mode,adaptive_parameter_mode,frontier_metric_mode,structural_effective_dim,structural_active_features,frontier_fraction,core_fraction,tail_quantile,family_peer_frontier_overlap,family_gnn_frontier_overlap,family_cache_frontier_overlap,family_static_core_overlap,family_tail_separation,family_frontier_mean,family_peer_frontier_overlap_pct,family_gnn_frontier_overlap_pct,family_cache_frontier_overlap_pct,family_static_core_overlap_pct,family_tail_separation_pct,family_frontier_mean_pct,distance_guard_active,distance_guard_mode,final_score_mean
log2,0.8974147000008088,0.5412045000002763,5.379987500000425,7.911762200000339,True,0.7600679212071065,0.7770113888281762,8192,cuda,30,64,2,True,0.49881312729174476,0.5011868727082553,0.1009523214787523,sink_reach_near_pr,relative-sink-gnn-frontier,segr_adaptive_no_hand_parameters,runtime_visible_signal_geometry,runtime_visible_structural_effective_dimension,5.482178349896464,6.0,0.18240924249005616,0.08709148817645887,0.9695984595849907,0.2936986783904086,0.1922056723117731,0.366623786691615,0.056818181818181816,0.027679610216271733,0.02705944860761199,0.9482758620689655,0.5689655172413793,0.8448275862068966,0.5344827586206896,0.43103448275862066,0.25862068965517243,False,auto_runtime_visible,0.49987805952937386
max,0.07163709999986168,0.2762451999997211,0.3753372999999556,0.7987438999998631,True,0.7329890956474031,0.7985895208485735,6242,cuda,30,64,2,True,0.4646095130428794,0.5353904869571207,0.1714216044867106,pdom_dist,relative-pdom-static-aligned,segr_adaptive_no_hand_parameters,runtime_visible_signal_geometry,runtime_visible_structural_effective_dimension,4.474128557914539,6.0,0.2235072119756245,0.09547333646619914,0.9627487980040625,0.28275254473848144,0.04974271012006861,0.2776617954070981,0.9773584905660377,0.9033089289727594,0.42922188050437987,0.5689655172413793,0.1206896551724138,0.6724137931034483,0.8448275862068966,0.9827586206896551,0.5689655172413793,False,auto_runtime_visible,0.4981772967688475
mem_ctrl,1.3354846000001999,0.6828126000000339,8.040064199999506,11.55101470000045,True,0.7284421169521748,0.7340244167781104,8192,cuda,30,64,2,True,0.5214107875469832,0.4785892124530169,0.09760343034239741,pdom_dist,relative-pdom-static-aligned,segr_adaptive_no_hand_parameters,runtime_visible_signal_geometry,runtime_visible_structural_effective_dimension,5.214659538342668,6.0,0.19176707369812712,0.08916900210666427,0.9680388210503121,0.30909579602099463,0.21749090419080985,0.05321443142740572,0.9626255547769212,-0.025726716057539428,0.13414507903888084,0.603448275862069,0.3275862068965517,0.017241379310344827,0.8793103448275862,0.017241379310344827,0.43103448275862066,False,auto_runtime_visible,0.499887142227999
multiplier,0.7378040000003239,0.4711852000000363,4.569143099999565,6.7077196000000185,True,0.7647588460253221,0.8832798054431366,8192,cuda,30,64,2,True,0.4703481243262187,0.5296518756737814,0.1008205547098355,pdom_dist,relative-pdom-static-aligned,segr_adaptive_no_hand_parameters,runtime_visible_signal_geometry,runtime_visible_structural_effective_dimension,5.125677394277476,6.0,0.19509616448285302,0.0898821675805873,0.9674839725861911,0.21520824178447523,0.25717703349282295,0.24910862847634893,0.09226257613354387,-0.0008875662571377818,0.029890366662898335,0.3620689655172414,0.603448275862069,0.6379310344827587,0.7413793103448276,0.05172413793103448,0.1896551724137931,False,auto_runtime_visible,0.49991019432134504
priority,0.024310199999490578,0.24841419999938807,0.13066260000050534,0.4305975999996008,True,0.7394088273195876,0.6714400773195875,2084,cuda,30,64,2,True,0.5260544988329899,0.47394550116701006,0.10824742268041238,wl3_common_dist,relative-wl-common-cache-repair,segr_adaptive_no_hand_parameters,runtime_visible_signal_geometry,runtime_visible_structural_effective_dimension,4.935091744047706,6.0,0.20263047818839766,0.09144870691590946,0.9662282536352671,0.25195246777618124,0.13872832369942195,0.2507936507936508,0.14838709677419354,1.2014450113480663e-07,8.716311606127802e-08,0.25862068965517243,0.1206896551724138,0.4827586206896552,0.43103448275862066,0.29310344827586204,0.1206896551724138,False,auto_runtime_visible,0.4980499133972866
router,0.007034000000203378,0.22775609999916924,0.04161500000009255,0.28484560000015335,True,0.7233819169960474,0.7183794466403162,628,cuda,30,64,2,True,0.4790572944617201,0.5209427055382799,0.11660079051383401,pdom_dist,relative-pdom-static-aligned,segr_adaptive_no_hand_parameters,runtime_visible_signal_geometry,runtime_visible_structural_effective_dimension,4.773593353641935,6.0,0.2094857952735053,0.0928195419276668,0.9650857007877491,0.3818536635397788,0.17391304347826086,0.42105263157894735,0.7142857142857143,0.10874847005178259,0.09849313610911163,0.7413793103448276,0.3620689655172414,0.8448275862068966,0.8793103448275862,0.1896551724137931,0.15517241379310345,False,auto_runtime_visible,0.4985467162445472
sin,0.12633569999979954,0.30612899999960064,0.7283840000000055,1.308558400000038,True,0.7715865607606679,0.8360331632653061,8192,cuda,30,64,2,True,0.5114724410448658,0.4885275589551343,0.10211502782931355,mass_balance,relative-mass-balance-frontier,segr_adaptive_no_hand_parameters,runtime_visible_signal_geometry,runtime_visible_structural_effective_dimension,5.378676768406343,6.0,0.1859193335196998,0.08788368106004793,0.9690134444133833,0.22612194299005003,0.1820860341779611,0.44942196531791906,0.037199124726477024,0.42710116577011714,0.9999999933582552,0.43103448275862066,0.5,0.9482758620689655,0.39655172413793105,0.8793103448275862,0.9827586206896551,False,auto_runtime_visible,0.49981467631993504
sqrt,0.6564907000001767,0.44325840000055905,3.8894491000000926,5.74394779999966,True,0.7583228755141938,0.657014926892844,8192,cuda,30,64,2,True,0.5014648481888685,0.49853515181113145,0.10048466582495011,role_depth_resonance_idx_inv_dist,relative-role-depth-source,segr_adaptive_no_hand_parameters,runtime_visible_signal_geometry,runtime_visible_structural_effective_dimension,5.330540325574246,6.0,0.18759824312787138,0.08825704434791098,0.9687336261453547,0.276723330653308,0.2064946968704989,0.23363234703440888,0.056530214424951264,0.0022708839179350964,0.0023327236699564984,0.6896551724137931,0.3103448275862069,0.5172413793103449,0.7586206896551724,0.13793103448275862,0.06896551724137931,False,auto_runtime_visible,0.49993020208438915
square,0.47117619999971794,0.39933770000061486,2.9391154999993887,4.335512599999674,True,0.7660322867298578,0.872414984746963,8192,cuda,30,64,2,True,0.5029239598741945,0.4970760401258055,0.1013346407365038,mass_balance,relative-mass-balance-frontier,segr_adaptive_no_hand_parameters,runtime_visible_signal_geometry,runtime_visible_structural_effective_dimension,4.953420461232969,6.0,0.20188070199699693,0.09129568279965719,0.9663532163338339,0.2671627875427784,0.3732172624560104,0.4274162495186754,0.06139240506329114,0.33584856181648437,0.999999967486282,0.5689655172413793,0.6724137931034483,0.7068965517241379,0.29310344827586204,0.7068965517241379,0.9827586206896551,False,auto_runtime_visible,0.4997682194656911
voter,0.3458122000001822,0.3553377999996883,2.1143596000001708,3.193338899999617,True,0.7697444937122919,0.9287862542705532,8192,cuda,30,64,2,True,0.4995789421463194,0.5004210578536805,0.08411475370114607,index_mid,relative-mid-index,segr_adaptive_no_hand_parameters,runtime_visible_signal_geometry,runtime_visible_structural_effective_dimension,5.092669498055639,6.0,0.19636067103545518,0.09014962540579466,0.9672732214940908,0.06583982207323383,0.039030955585464336,0.02155009451795841,0.0,0.46728700203547546,0.9018610061064262,0.017241379310344827,0.017241379310344827,0.017241379310344827,0.017241379310344827,0.9827586206896551,0.9482758620689655,False,auto_runtime_visible,0.49981584474770396
