circuit,label_mode,budget,n_nodes,budget_nodes,rank_mode,gnn_nonrandom,gnn_reliable,gnn_struct_agree,gnn_participated,frontier_source,global_rank_prefix_consistent,runtime_no_fi,chosen_family,family_reason,family_peer_frontier_overlap,family_gnn_frontier_overlap,family_cache_frontier_overlap,family_static_core_overlap,method,rank_action,selected,fault_instance_total,fault_instance_selected,fault_instance_snc,fault_instance_nsde,fault_instance_oracle
ctrl,unsupervised,0.2,164,33,segr_structure_derived_global_rank,0.6466161809815951,True,0.5218558282208589,True,structure_derived_rank_frontier,True,False,pdom_dist,relative-pdom-static-aligned,0.39666589635433736,0.1875,0.22580645161290322,1.0,pure_static_proximity,static_proximity_global_prefix,33,162,39,0.24074074074074073,0.6290322580645161,62
ctrl,unsupervised,0.2,164,33,segr_structure_derived_global_rank,0.6466161809815951,True,0.5218558282208589,True,structure_derived_rank_frontier,True,False,pdom_dist,relative-pdom-static-aligned,0.39666589635433736,0.1875,0.22580645161290322,1.0,segr_structure_derived_selector,global_rank_prefix,33,162,39,0.24074074074074073,0.6290322580645161,62
dec,unsupervised,0.05,48,3,segr_structure_derived_global_rank,0.5,True,0.4406028368794326,True,structure_derived_rank_frontier,True,False,index_mid,relative-structural-lowdim-index-tail,0.7308745188507679,0.7272727272727273,0.7272727272727273,0.0,pure_static_proximity,static_proximity_global_prefix,3,76,3,0.039473684210526314,0.5,6
dec,unsupervised,0.05,48,3,segr_structure_derived_global_rank,0.5,True,0.4406028368794326,True,structure_derived_rank_frontier,True,False,index_mid,relative-structural-lowdim-index-tail,0.7308745188507679,0.7272727272727273,0.7272727272727273,0.0,segr_structure_derived_selector,global_rank_prefix,3,76,6,0.07894736842105263,1.0,6
dec,unsupervised,0.1,48,5,segr_structure_derived_global_rank,0.5,True,0.4406028368794326,True,structure_derived_rank_frontier,True,False,index_mid,relative-structural-lowdim-index-tail,0.7308745188507679,0.7272727272727273,0.7272727272727273,0.0,pure_static_proximity,static_proximity_global_prefix,5,76,5,0.06578947368421052,0.5,10
dec,unsupervised,0.1,48,5,segr_structure_derived_global_rank,0.5,True,0.4406028368794326,True,structure_derived_rank_frontier,True,False,index_mid,relative-structural-lowdim-index-tail,0.7308745188507679,0.7272727272727273,0.7272727272727273,0.0,segr_structure_derived_selector,global_rank_prefix,5,76,10,0.13157894736842105,1.0,10
dec,unsupervised,0.2,48,10,segr_structure_derived_global_rank,0.5,True,0.4406028368794326,True,structure_derived_rank_frontier,True,False,index_mid,relative-structural-lowdim-index-tail,0.7308745188507679,0.7272727272727273,0.7272727272727273,0.0,pure_static_proximity,static_proximity_global_prefix,10,76,12,0.15789473684210525,0.6,20
dec,unsupervised,0.2,48,10,segr_structure_derived_global_rank,0.5,True,0.4406028368794326,True,structure_derived_rank_frontier,True,False,index_mid,relative-structural-lowdim-index-tail,0.7308745188507679,0.7272727272727273,0.7272727272727273,0.0,segr_structure_derived_selector,global_rank_prefix,10,76,19,0.25,0.95,20
div,unsupervised,0.05,57119,2856,segr_structure_derived_global_rank,0.7148905281610001,True,0.41747566441402006,True,structure_derived_rank_frontier,True,False,inv_depth,relative-depth-frontier,0.14743756735813227,0.1934321185422507,0.2008519947038167,0.11516916872059153,pure_static_proximity,static_proximity_global_prefix,2856,25925,1334,0.05145612343297975,0.23354341736694678,5712
div,unsupervised,0.05,57119,2856,segr_structure_derived_global_rank,0.7148905281610001,True,0.41747566441402006,True,structure_derived_rank_frontier,True,False,inv_depth,relative-depth-frontier,0.14743756735813227,0.1934321185422507,0.2008519947038167,0.11516916872059153,segr_structure_derived_selector,global_rank_prefix,2856,25925,1997,0.07702989392478303,0.34961484593837533,5712
