circuit,vector_seed,vectors,method,method_ratio,loss_rows,random_mean,random_p05,random_p95,gate,random_passed
hyp,7089,128,rrf_static_cache_gnn,0.43207202151865437,1,0.44849790734940737,0.4303009042541479,0.4699825713215514,0.5,False
hyp,7089,128,max_visible_signal,0.4295598588418382,1,0.44849790734940737,0.4303009042541479,0.4699825713215514,0.5,False
i2c,7089,128,centrality_only,0.3330667706074681,3,0.2977078757690113,0.23172966452205881,0.3602879432477577,0.5,False
i2c,7089,128,scoap_proxy,0.9883296099785908,0,0.2977078757690113,0.23172966452205881,0.3602879432477577,0.5,True
i2c,7089,128,observability_cone_proxy,0.9829372370894043,2,0.2977078757690113,0.23172966452205881,0.3602879432477577,0.5,True
i2c,7089,128,cone_centrality_proxy,0.4154070774454364,3,0.2977078757690113,0.23172966452205881,0.3602879432477577,0.5,False
i2c,7089,128,structural_borda_no_gnn,0.7070591088554243,3,0.2977078757690113,0.23172966452205881,0.3602879432477577,0.5,True
i2c,7089,128,equal_rank_fusion_static_cache_gnn,0.6475797146123878,3,0.2977078757690113,0.23172966452205881,0.3602879432477577,0.5,True
i2c,7089,128,rrf_static_cache_gnn,0.667862068229449,3,0.2977078757690113,0.23172966452205881,0.3602879432477577,0.5,True
i2c,7089,128,max_visible_signal,0.9266150051196128,1,0.2977078757690113,0.23172966452205881,0.3602879432477577,0.5,True
int2float,7089,128,centrality_only,0.30127494458474624,3,0.18833887566800322,0.06429780033840947,0.3217522658610272,0.5,False
int2float,7089,128,scoap_proxy,0.9131798547244513,0,0.18833887566800322,0.06429780033840947,0.3217522658610272,0.5,True
int2float,7089,128,observability_cone_proxy,0.8807586446031888,2,0.18833887566800322,0.06429780033840947,0.3217522658610272,0.5,True
int2float,7089,128,cone_centrality_proxy,0.634613097370335,3,0.18833887566800322,0.06429780033840947,0.3217522658610272,0.5,True
int2float,7089,128,structural_borda_no_gnn,0.7597789129595187,3,0.18833887566800322,0.06429780033840947,0.3217522658610272,0.5,True
int2float,7089,128,equal_rank_fusion_static_cache_gnn,0.7252067556825493,3,0.18833887566800322,0.06429780033840947,0.3217522658610272,0.5,True
