circuit,vector_seed,vectors,budget,method_value,static_value,oracle_value,row_ideal_ratio_raw,loss,chosen_family
arbiter,8089,128,0.1,54241.0,50416.0,57577.0,0.9420601976483666,False,pdom_dist
arbiter,8089,128,0.2,63198.0,62230.0,63828.0,0.9901297236322617,False,pdom_dist
arbiter,9089,128,0.05,36525.0,36278.0,43382.0,0.8419390530634826,False,pdom_dist
arbiter,9089,128,0.1,54377.0,50440.0,57791.0,0.9409250575349103,False,pdom_dist
arbiter,9089,128,0.2,63911.0,62847.0,64556.0,0.990008674639073,False,pdom_dist
bar,5089,128,0.05,15784.0,15784.0,15873.0,0.9943929943929944,False,pdom_dist
bar,5089,128,0.1,28988.0,28988.0,28988.0,1.0,False,pdom_dist
bar,5089,128,0.2,40611.0,40581.0,40721.0,0.9972986910930478,False,pdom_dist
bar,6089,128,0.05,15214.0,15214.0,15456.0,0.9843426501035196,False,pdom_dist
bar,6089,128,0.1,28547.0,28547.0,28547.0,1.0,False,pdom_dist
bar,6089,128,0.2,42505.0,42471.0,42627.0,0.9971379642010932,False,pdom_dist
bar,7089,128,0.05,15463.0,15463.0,16311.0,0.9480105450309607,False,pdom_dist
bar,7089,128,0.1,28736.0,28736.0,28736.0,1.0,False,pdom_dist
bar,7089,128,0.2,39346.0,39326.0,39500.0,0.9961012658227848,False,pdom_dist
bar,8089,128,0.05,15381.0,15381.0,15613.0,0.9851405879715621,False,pdom_dist
bar,8089,128,0.1,28673.0,28673.0,28673.0,1.0,False,pdom_dist
bar,8089,128,0.2,40990.0,40961.0,41174.0,0.995531160441055,False,pdom_dist
bar,9089,128,0.05,15135.0,15135.0,15229.0,0.9938275658283539,False,pdom_dist
bar,9089,128,0.1,28484.0,28484.0,28484.0,1.0,False,pdom_dist
bar,9089,128,0.2,41610.0,41576.0,41782.0,0.9958833947632952,False,pdom_dist
cavlc,5089,128,0.05,2082.0,2082.0,2440.0,0.8532786885245902,False,pdom_dist
cavlc,5089,128,0.1,3028.0,2759.0,3279.0,0.9234522720341568,False,pdom_dist
cavlc,5089,128,0.2,3808.0,3490.0,4063.0,0.9372384937238494,False,pdom_dist
cavlc,6089,128,0.05,2134.0,2134.0,2523.0,0.8458184700753072,False,pdom_dist
cavlc,6089,128,0.1,3128.0,2890.0,3473.0,0.9006622516556292,False,pdom_dist
cavlc,6089,128,0.2,3996.0,3704.0,4269.0,0.9360505973295854,False,pdom_dist
cavlc,7089,128,0.05,2088.0,2088.0,2488.0,0.8392282958199357,False,pdom_dist
cavlc,7089,128,0.1,3038.0,2810.0,3300.0,0.9206060606060606,False,pdom_dist
cavlc,7089,128,0.2,3750.0,3512.0,3979.0,0.9424478512188992,False,pdom_dist
cavlc,8089,128,0.05,2114.0,2114.0,2529.0,0.8359035191775406,False,pdom_dist
cavlc,8089,128,0.1,3102.0,2847.0,3408.0,0.9102112676056338,False,pdom_dist
cavlc,8089,128,0.2,3887.0,3589.0,4181.0,0.9296818942836642,False,pdom_dist
cavlc,9089,128,0.05,2046.0,2046.0,2472.0,0.8276699029126213,False,pdom_dist
cavlc,9089,128,0.1,3051.0,2823.0,3416.0,0.8931498829039812,False,pdom_dist
cavlc,9089,128,0.2,3997.0,3687.0,4341.0,0.9207555862704446,False,pdom_dist
ctrl,5089,128,0.05,1152.0,1152.0,1152.0,1.0,False,pdom_dist
ctrl,5089,128,0.1,2124.0,2124.0,2176.0,0.9761029411764706,False,pdom_dist
ctrl,5089,128,0.2,3367.0,3367.0,3945.0,0.8534854245880862,False,pdom_dist
ctrl,6089,128,0.05,1152.0,1152.0,1152.0,1.0,False,pdom_dist
ctrl,6089,128,0.1,2124.0,2124.0,2176.0,0.9761029411764706,False,pdom_dist
ctrl,6089,128,0.2,3333.0,3333.0,3949.0,0.8440111420612814,False,pdom_dist
ctrl,7089,128,0.05,1152.0,1152.0,1152.0,1.0,False,pdom_dist
ctrl,7089,128,0.1,2123.0,2123.0,2176.0,0.9756433823529411,False,pdom_dist
ctrl,7089,128,0.2,3423.0,3423.0,3890.0,0.8799485861182519,False,pdom_dist
ctrl,8089,128,0.05,1152.0,1152.0,1152.0,1.0,False,pdom_dist
ctrl,8089,128,0.1,2136.0,2136.0,2176.0,0.9816176470588235,False,pdom_dist
ctrl,8089,128,0.2,3432.0,3432.0,3896.0,0.8809034907597536,False,pdom_dist
ctrl,9089,128,0.05,1152.0,1152.0,1152.0,1.0,False,pdom_dist
ctrl,9089,128,0.1,2132.0,2132.0,2176.0,0.9797794117647058,False,pdom_dist
ctrl,9089,128,0.2,3341.0,3341.0,3993.0,0.8367142499373904,False,pdom_dist
dec,5089,128,0.05,384.0,384.0,384.0,1.0,False,index_mid
dec,5089,128,0.1,640.0,640.0,640.0,1.0,False,index_mid
dec,5089,128,0.2,1280.0,1280.0,1280.0,1.0,False,index_mid
dec,6089,128,0.05,384.0,384.0,384.0,1.0,False,index_mid
dec,6089,128,0.1,640.0,640.0,640.0,1.0,False,index_mid
dec,6089,128,0.2,1280.0,1280.0,1280.0,1.0,False,index_mid
dec,7089,128,0.05,384.0,384.0,384.0,1.0,False,index_mid
dec,7089,128,0.1,640.0,640.0,640.0,1.0,False,index_mid
dec,7089,128,0.2,1280.0,1280.0,1280.0,1.0,False,index_mid
dec,8089,128,0.05,384.0,384.0,384.0,1.0,False,index_mid
dec,8089,128,0.1,640.0,640.0,640.0,1.0,False,index_mid
dec,8089,128,0.2,1280.0,1280.0,1280.0,1.0,False,index_mid
dec,9089,128,0.05,384.0,384.0,384.0,1.0,False,index_mid
dec,9089,128,0.1,640.0,640.0,640.0,1.0,False,index_mid
