circuit,vector_seed,vectors,method_ratio,loss_rows,random_mean,random_p05,random_p95,gate,random_passed,seconds,chosen_family,seed_eval_mode,engine,shard_count
multiplier,8089,128,0.7333614357048307,0,0.2727152233651305,0.26394139569794894,0.2818549408620428,0.5,True,0.6449623998487368,sink_reach_near_pr,,,
multiplier,9089,128,0.7316705728468107,0,0.2706792033764943,0.26196828184816817,0.27989218337726757,0.5,True,0.6597958999918774,sink_reach_near_pr,,,
priority,5089,128,0.7090609764995343,0,0.3491577181679402,0.2953625276221545,0.40376287743857664,0.5,True,0.032933799899183214,wl3_common_dist,,,
priority,6089,128,0.7117419436168753,0,0.34960016302861074,0.29616055898793636,0.4031756319788078,0.5,True,0.0331109999679029,wl3_common_dist,,,
priority,7089,128,0.7110029133307152,0,0.34838747761170646,0.29544790477830873,0.40285846786075336,0.5,True,0.03137430001515895,wl3_common_dist,,,
priority,8089,128,0.7070678074024588,0,0.34916762856418565,0.2967076251804537,0.4029587477457634,0.5,True,0.03188930009491742,wl3_common_dist,,,
priority,9089,128,0.7119455779149128,0,0.35132889034673603,0.29679805370926116,0.4062046553912985,0.5,True,0.03268669999670237,wl3_common_dist,,,
router,5089,128,0.7705606132183874,0,0.12743044951651447,0.035826998895988484,0.24830849354372225,0.5,True,0.025300600100308657,pdom_dist,,,
router,6089,128,0.7730996552321234,0,0.12375630760949678,0.03197236395719267,0.2445598729539997,0.5,True,0.026640299940481782,pdom_dist,,,
router,7089,128,0.7834531948704562,0,0.12202186197942813,0.02834263465800556,0.24769002149614386,0.5,True,0.026097699883393943,pdom_dist,,,
router,8089,128,0.7640261604453781,0,0.12829838896779885,0.03816489780651773,0.24524467158127716,0.5,True,0.025518800015561283,pdom_dist,,,
router,9089,128,0.7614557503919793,0,0.127614561999716,0.03668482411753022,0.24523495499053555,0.5,True,0.02504230011254549,pdom_dist,,,
sqrt,5089,128,0.6866355458950253,0,0.19449424814115923,0.18435794935523267,0.20478895736625305,0.5,True,14.161915900069289,role_depth_resonance_idx_inv_dist,,,
sqrt,6089,128,0.6697946372664132,0,0.18526664333580956,0.17532472260081589,0.1951249281940341,0.5,True,13.392303600092418,role_depth_resonance_idx_inv_dist,,,
sqrt,7089,128,0.691360653934538,0,0.18622387166600188,0.17528532652631884,0.19706866729467565,0.5,True,13.842698599910364,role_depth_resonance_idx_inv_dist,,,
sqrt,8089,128,0.6743496232786351,0,0.17854811297144785,0.16623488707832176,0.19113266023230716,0.5,True,11.149655100074597,role_depth_resonance_idx_inv_dist,,,
sqrt,9089,128,0.6724626865539753,0,0.1831253395698064,0.1733942155075333,0.19288285471627684,0.5,True,13.855699399951845,role_depth_resonance_idx_inv_dist,,,
square,5089,128,0.8381688817247817,0,0.7090472594997143,0.699844631738293,0.7187335929503681,0.7090472594997143,True,0.2665419998811558,mass_balance,,,
square,6089,128,0.8384706725509279,0,0.7091299353577325,0.699794644058855,0.7190300462966827,0.7091299353577325,True,0.2716828000266105,mass_balance,,,
square,7089,128,0.8382646612689392,0,0.7089138709423958,0.6996616996050966,0.718689520875371,0.7089138709423958,True,0.2718765999889001,mass_balance,,,
square,8089,128,0.8383079444761605,0,0.7092983997464908,0.7003029208568278,0.7190209974333481,0.7092983997464908,True,0.2749390999088064,mass_balance,,,
square,9089,128,0.8381051205508775,0,0.7083406584358964,0.6992807887182818,0.7180494680578287,0.7083406584358964,True,0.2765246999915689,mass_balance,,,
voter,5089,128,0.608336720822602,0,0.40031759679056905,0.3893025505743832,0.4119797807307581,0.5,True,0.835412299958989,index_mid,,,
voter,6089,128,0.6179487312481765,0,0.4192287459824534,0.40810607350296185,0.431147731206526,0.5,True,0.8371458001201972,index_mid,,,
voter,7089,128,0.6138388035435037,0,0.42241266501324126,0.41084553286615566,0.4338065789120539,0.5,True,0.8475488999392837,index_mid,,,
voter,8089,128,0.6148549791536483,0,0.3948784375693451,0.38374312705928393,0.40685655099956497,0.5,True,0.843214699998498,index_mid,,,
voter,9089,128,0.6210118742446556,0,0.40203008169132426,0.39054817430941413,0.41336923100968165,0.5,True,0.8435761000728235,index_mid,,,
sin,5089,128,0.6870243659285443,0,0.3438218760986351,0.3225471251873947,0.36709518464225693,0.5,True,0.5638067000545561,pdom_dist,,,
sin,6089,128,0.6859580142503378,0,0.34287613193921823,0.321587712177097,0.3657535555779327,0.5,True,0.2935244998661801,pdom_dist,,,
sin,7089,128,0.6874194708540587,0,0.34259213635883473,0.32136063547061544,0.36579185554814936,0.5,True,0.30956780002452433,pdom_dist,,,
sin,8089,128,0.683254709113437,0,0.34168566808740763,0.3202522265997282,0.3651043321240824,0.5,True,0.3023878999520093,pdom_dist,,,
sin,9089,128,0.6885825745944818,0,0.34330621176284687,0.3219986688383411,0.3666629323341314,0.5,True,0.3165529000107199,pdom_dist,,,
